Init_Win_bytes_forward,Bwd Packets/s,Init_Win_bytes_backward,Flow Duration,Packet Length Std,Destination Port,Average Packet Size,Total Length of Bwd Packets,Bwd Packet Length Min,Fwd Header Length,Total Backward Packets,Total Length of Fwd Packets,Bwd Packet Length Mean,Flow IAT Min
2048,0,0,0,0,443,559,0,0,20,0,1,0,0
0,0,16,0,0,443,77,77,77,0,1,0,77,0
2047,0,0,3,29,443,95,0,0,40,0,2,0,0
2047,0,0,0,0,443,66,0,0,20,0,1,0,0
0,12.4,8,15,27,443,93,186,66,0,2,0,93,0
2048,0,0,784,307.7217678204331,443,276.0769230769231,0,0,260,0,13,0,1
0,163,265,2,13.767917618708921,443,108.66666666666667,326,97,0,3,0,108.66666666666667,1
2048,0,0,1,344,443,489,0,0,40,0,2,0,0
2048,0,0,0,0,443,131,0,0,20,0,1,0,0
2048,0,0,1428,550.3727830065261,443,1113.8148148148148,0,0,1620,0,81,0,0
0,5.818061088977424,501,753,465.2712671558564,443,312.92857142857144,4381,66,0,14,0,312.92857142857144,0
2024,0,0,14,32.5,443,98.5,0,0,40,0,2,0,0
0,17.670749279538907,22,1388,478.18076743890146,443,318.53246753246754,24527,66,0,77,0,318.53246753246754,0
65535,0,0,101,165.96502308886917,443,149.33333333333334,0,0,240,0,12,0,1
0,83.41304347826087,65535,92,612.9062917355144,443,548.1428571428571,7674,66,0,14,0,548.1428571428571,1
1023,0,0,6,18.5,443,84.5,0,0,40,0,2,0,0
0,4.170731707317073,278,41,19.5,5222,85.5,171,66,0,2,0,85.5,0
2038,0,0,13,20,5222,86,0,0,40,0,2,0,0
2048,0,0,1886,180.78386420130408,443,193.83333333333334,0,0,120,0,6,0,0
0,1.0393530997304583,7,1855,186.97028878645102,443,321.3333333333333,1928,66,0,6,0,321.3333333333333,0
65535,0,0,102,157.71806381743653,443,144.88888888888889,0,0,180,0,9,0,4
0,3.9302325581395348,27715,43,18.5,443,84.5,169,66,0,2,0,84.5,0
65535,0,0,1173,642.6579764318027,443,869.6417910447761,0,0,1340,0,67,0,0
0,23.130696474634565,65160,1163,507.2626142328663,443,389.8695652173913,26901,66,0,69,0,389.8695652173913,0
0,32.71578947368421,65160,190,632.8031113844004,443,690.6666666666666,6216,66,0,9,0,690.6666666666666,3
65535,0,0,75,151.48465268798685,443,137,0,0,200,0,10,0,3
0,57.76851851851852,65160,108,629.6390108233585,443,693.2222222222222,6239,66,0,9,0,693.2222222222222,3
0,0,136,0,0,443,66,66,66,0,1,0,66,0
2047,0,0,3793,177.66228887664622,443,198.66666666666666,0,0,120,0,6,0,170
0,1.1310344827586207,7,145,16,443,82,164,66,0,2,0,82,0
2048,0,0,1002,597.8508147409273,443,1033.8153846153846,0,0,1300,0,65,0,0
0,21.085774058577407,27,956,508.19617351264,443,347.55172413793105,20158,66,0,58,0,347.55172413793105,1
65535,0,0,76,165.96502308886917,443,149.33333333333334,0,0,240,0,12,0,2
0,119.90625,65535,64,612.9062917355144,443,548.1428571428571,7674,66,0,14,0,548.1428571428571,2
44,0,0,14,16.144348856488453,443,78.6,0,0,100,0,5,0,3
0,0.5249737118822292,8,3804,272.2234976137461,443,285.2857142857143,1997,66,0,7,0,285.2857142857143,0
2048,0,0,26,17.5,443,83.5,0,0,40,0,2,0,0
2048,0,0,205,25.5,443,91.5,0,0,40,0,2,0,0
0,6.66,272,50,19.75449315978519,443,66.6,333,54,0,5,0,66.6,2
2048,0,0,0,0,443,54,0,0,20,0,1,0,0
0,0,267,0,0,443,97,97,97,0,1,0,97,0
0,0.8863636363636364,1248,176,12,443,78,156,66,0,2,0,78,0
65535,0,0,52440,356.76986923202566,55334,249.94285714285715,0,0,280,0,35,0,0
44,0,0,12935,27.6289703029266,993,92.2,0,0,200,0,10,0,0
65535,0,0,30873,269.0771226807257,443,154.56842105263158,0,0,1900,0,95,0,0
0,6.522511485451761,65160,3265,643.0139323216591,443,819.0769230769231,21296,66,0,26,0,819.0769230769231,0
0,15.708835341365463,65535,498,627.816249435737,443,651.9166666666666,7823,54,0,12,0,651.9166666666666,0
0,1.3012744767049291,501,71088,651.4797926425708,443,973.7368421052631,92505,66,0,95,0,973.7368421052631,0
2048,0,0,52474,401.7495957114592,55616,292.3888888888889,0,0,288,0,36,0,0
0,0.015195144641828733,8,90292,22.252808811473667,443,85.75,1372,66,0,16,0,85.75,10
65535,0,0,261,440.55071625608554,443,310.0625,0,0,320,0,16,0,0
